author/repo,name,url,language,license,size
Valloric/ycmd,ycmd,https://github.com/Valloric/ycmd,CSharp,GPL-3.0-only,25.77 MiB
Vimjas/vint,vint,https://github.com/Vimjas/vint,VimScript,MIT,701.05 KiB
Weltraumschaf/ebnf,ebnf,https://github.com/Weltraumschaf/ebnf,Php,GPL-3.0-only,1.36 MiB
WerWolv/ImHex,ImHex,https://github.com/WerWolv/ImHex,Cpp,GPL-2.0-only,3.54 MiB
Wilfred/tree-sitter-elisp,tree-sitter-elisp,https://github.com/Wilfred/tree-sitter-elisp,C,MIT,282.87 KiB
World/Authenticator,Authenticator,https://gitlab.gnome.org/World/Authenticator,Rust,GPL-3.0-only,1.49 MiB
aartaka/nyxt-config,nyxt-config,https://github.com/aartaka/nyxt-config,Lisp,BSD-2-Clause,17.09 KiB
abhilater/cloj-fts,cloj-fts,https://github.com/abhilater/cloj-fts,Clojure,EPL-1.0,25.07 KiB
abraham-ai/eden,eden,https://github.com/abraham-ai/eden,Python,GPL-3.0-only,134.72 KiB
abrochard/kubel,kubel,https://github.com/abrochard/kubel,Elisp,GPL-3.0-only,215.91 KiB
abrochard/magit-circleci,magit-circleci,https://github.com/abrochard/magit-circleci,Elisp,GPL-3.0-only,260.68 KiB
actions/runner,runner,https://github.com/actions/runner,CSharp,MIT,4.90 MiB
adder46/hstr-rs,hstr-rs,https://github.com/adder46/hstr-rs,Rust,MIT,239.63 KiB
adder46/tetris.rs,tetris.rs,https://github.com/adder46/tetris.rs,Rust,MIT,22.62 KiB
adijo/gpt3-alchemy,gpt3-alchemy,https://github.com/adijo/gpt3-alchemy,Python,MIT,35.10 KiB
adityaathalye/clojure-by-example,clojure-by-example,https://github.com/adityaathalye/clojure-by-example,Clojure,MIT,97.59 KiB
ag91/moldable-emacs,moldable-emacs,https://github.com/ag91/moldable-emacs,Elisp,GPL-3.0-only,6.80 MiB
agrafix/psql-helpers,psql-helpers,https://github.com/agrafix/psql-helpers,Haskell,MIT,5.58 KiB
ahmadnazir/cli-lein-template,cli-lein-template,https://github.com/ahmadnazir/cli-lein-template,Clojure,EPL-2.0,19.62 KiB
ahmetb/kubectx,kubectx,https://github.com/ahmetb/kubectx,Go,Apache-2.0,601.33 KiB
aholmback/fuse,fuse,https://github.com/aholmback/fuse,Python,MIT,52.48 KiB
ahungry/ruse,ruse,https://github.com/ahungry/ruse,Clojure,AGPL-3.0-only,101.50 MiB
aidalgol/dockered-language-servers,dockered-language-servers,https://github.com/aidalgol/dockered-language-servers,Sh,CC0-1.0,11.87 KiB
aindilis/JavaPengine,JavaPengine,https://github.com/aindilis/JavaPengine,Java,MIT,84.90 KiB
aindilis/academician,academician,https://github.com/aindilis/academician,Perl,GPL-3.0-only,304.63 KiB
aindilis/all,all,https://github.com/aindilis/all,Perl,GPL-3.0-only,499.71 KiB
aindilis/audience,audience,https://github.com/aindilis/audience,Perl,GPL-3.0-only,452.08 KiB
aindilis/boycott-manager,boycott-manager,https://github.com/aindilis/boycott-manager,Perl,GPL-3.0-only,41.20 KiB
aindilis/brainleach,brainleach,https://github.com/aindilis/brainleach,Lisp,GPL-3.0-only,1.01 MiB
aindilis/cso,cso,https://github.com/aindilis/cso,Html,AGPL-3.0-only,2.43 MiB
aindilis/data-manager,data-manager,https://github.com/aindilis/data-manager,Perl,GPL-3.0-only,67.37 KiB
aindilis/daydreamer,daydreamer,https://github.com/aindilis/daydreamer,Sh,GPL-2.0-only,2.99 MiB
aindilis/direst-need,direst-need,https://github.com/aindilis/direst-need,Perl,GPL-3.0-only,151.95 KiB
aindilis/dnd,dnd,https://github.com/aindilis/dnd,Perl,GPL-3.0-only,62.55 KiB
aindilis/elog2,elog2,https://github.com/aindilis/elog2,Perl,GPL-3.0-only,81.36 KiB
aindilis/entity-typing,entity-typing,https://github.com/aindilis/entity-typing,Xml,GPL-3.0-only,42.91 KiB
aindilis/execution-engine,execution-engine,https://github.com/aindilis/execution-engine,Perl,GPL-3.0-only,70.26 KiB
aindilis/fgoal,fgoal,https://github.com/aindilis/fgoal,Perl,AGPL-3.0-only,92.30 KiB
aindilis/formalog-pengines,formalog-pengines,https://github.com/aindilis/formalog-pengines,Perl,GPL-3.0-only,58.62 KiB
aindilis/gourmet-formalog,gourmet-formalog,https://github.com/aindilis/gourmet-formalog,Perl,GPL-3.0-only,207.42 MiB
aindilis/gourmet-formalog-standalone,gourmet-formalog-standalone,https://github.com/aindilis/gourmet-formalog-standalone,Perl,GPL-3.0-only,663.07 KiB
aindilis/iaec,iaec,https://github.com/aindilis/iaec,Html,GPL-3.0-only,764.74 KiB
aindilis/ies,ies,https://github.com/aindilis/ies,Html,AGPL-3.0-only,614.35 KiB
aindilis/irc-kb,irc-kb,https://github.com/aindilis/irc-kb,Perl,GPL-3.0-only,92.76 KiB
aindilis/job-search,job-search,https://github.com/aindilis/job-search,Perl,GPL-3.0-only,279.11 KiB
aindilis/kbfs-formalog,kbfs-formalog,https://github.com/aindilis/kbfs-formalog,Perl,GPL-3.0-only,72.04 KiB
aindilis/koms-web,koms-web,https://github.com/aindilis/koms-web,Perl,GPL-3.0-only,80.45 KiB
aindilis/mealsolver,mealsolver,https://github.com/aindilis/mealsolver,Python,GPL-3.0-only,69.93 KiB
aindilis/mepk,mepk,https://github.com/aindilis/mepk,Cpp,MIT,3.08 MiB
aindilis/nlu,nlu,https://github.com/aindilis/nlu,Html,AGPL-3.0-only,0 B
aindilis/perl-btpm,perl-btpm,https://github.com/aindilis/perl-btpm,Perl,GPL-3.0-only,155.42 KiB
aindilis/plan-monitor,plan-monitor,https://github.com/aindilis/plan-monitor,Perl,GPL-3.0-only,502.07 KiB
aindilis/planner-api,planner-api,https://github.com/aindilis/planner-api,Perl,GPL-3.0-only,228.70 KiB
aindilis/resource-manager,resource-manager,https://github.com/aindilis/resource-manager,Perl,GPL-3.0-only,227.25 KiB
aindilis/score,score,https://github.com/aindilis/score,Perl,GPL-3.0-only,200.45 KiB
aindilis/spark-frdcsa,spark-frdcsa,https://github.com/aindilis/spark-frdcsa,Html,GPL-3.0-only,798.97 KiB
aindilis/spse2-formalog,spse2-formalog,https://github.com/aindilis/spse2-formalog,Elisp,GPL-3.0-only,56.00 KiB
aindilis/study,study,https://github.com/aindilis/study,Perl,GPL-3.0-only,51.22 KiB
aindilis/system-implementor,system-implementor,https://github.com/aindilis/system-implementor,Perl,GPL-3.0-only,1.22 MiB
aindilis/vger2,vger2,https://github.com/aindilis/vger2,Perl,GPL-3.0-only,46.96 KiB
aindilis/web-agent,web-agent,https://github.com/aindilis/web-agent,Perl,GPL-3.0-only,112.76 KiB
akavel/up,up,https://github.com/akavel/up,Go,Apache-2.0,227.20 KiB
akermu/emacs-libvterm,emacs-libvterm,https://github.com/akermu/emacs-libvterm,C,GPL-3.0-only,168.79 KiB
alacritty/alacritty,alacritty,https://github.com/alacritty/alacritty,Rust,Apache-2.0,42.46 MiB
albahnsen/PracticalMachineLearningClass,PracticalMachineLearningClass,https://github.com/albahnsen/PracticalMachineLearningClass,Jupyter,MIT,45.40 MiB
alda-lang/alda,alda,https://github.com/alda-lang/alda,Markdown,EPL-1.0,201.75 KiB
alekcz/datahike-starter,datahike-starter,https://github.com/alekcz/datahike-starter,Clojure,EPL-2.0,16.72 KiB
alex-shpak/hugo-book,hugo-book,https://github.com/alex-shpak/hugo-book,Html,MIT,3.13 MiB
alexellis/k3sup,k3sup,https://github.com/alexellis/k3sup,Go,MIT,10.47 MiB
alexkart/curl-builder,curl-builder,https://github.com/alexkart/curl-builder,Php,MIT,125.16 KiB
alphapapa/ement.el,ement.el,https://github.com/alphapapa/ement.el,Elisp,GPL-3.0-only,957.39 KiB
alphapapa/org-super-agenda,org-super-agenda,https://github.com/alphapapa/org-super-agenda,Elisp,GPL-3.0-only,1.22 MiB
alphapapa/prism.el,prism.el,https://github.com/alphapapa/prism.el,Elisp,GPL-3.0-only,6.00 MiB
alphapapa/unpackaged.el,unpackaged.el,https://github.com/alphapapa/unpackaged.el,Html,GPL-3.0-only,3.23 MiB
alpine-docker/git,git,https://github.com/alpine-docker/git,Sh,Apache-2.0,19.06 KiB
altair-viz/altair,altair,https://github.com/altair-viz/altair,Python,BSD-3-Clause,7.43 MiB
althonos/fs.sshfs,fs.sshfs,https://github.com/althonos/fs.sshfs,Python,LGPL-2.1-only,76.34 KiB
amanusk/s-tui,s-tui,https://github.com/amanusk/s-tui,Python,GPL-2.0-only,2.81 MiB
amanusk/s-tui/FIRESTARTER,FIRESTARTER,https://github.com/tud-zih-energy/FIRESTARTER.git,C,GPL-3.0-only,420.99 KiB
ament/ament_cmake,ament_cmake,https://github.com/ament/ament_cmake,CMake,Apache-2.0,309.33 KiB
amilajack/popcorn-time-desktop,popcorn-time-desktop,https://github.com/amilajack/popcorn-time-desktop,JavaScript,MIT,18.73 MiB
amirgamil/apollo,apollo,https://github.com/amirgamil/apollo,JavaScript,MIT,491.63 KiB
amperser/proselint,proselint,https://github.com/amperser/proselint,JavaScript,BSD-3-Clause,2.50 MiB
anachronic/importmagic.el,importmagic.el,https://github.com/anachronic/importmagic.el,Elisp,GPL-3.0-only,1.75 MiB
analogue/iotop,iotop,https://github.com/analogue/iotop,Python,GPL-2.0-only,83.57 KiB
ananthakumaran/tide,tide,https://github.com/ananthakumaran/tide,JavaScript,GPL-3.0-only,17.40 MiB
anishathalye/neural-hash-collider,neural-hash-collider,https://github.com/anishathalye/neural-hash-collider,Python,MIT,10.00 KiB
ankitdobhal/Kautilya,Kautilya,https://github.com/ankitdobhal/Kautilya,Python,GPL-2.0-only,30.58 KiB
ankur6ue/covid-papers-analysis,covid-papers-analysis,https://github.com/ankur6ue/covid-papers-analysis,Python,GPL-2.0-only,1.24 MiB
ansible-community/molecule,molecule,https://github.com/ansible-community/molecule,Python,MIT,11.31 MiB
ansible/ansible,ansible,https://github.com/ansible/ansible,Python,GPL-3.0-only,19.81 MiB
ansible/ansible-lint,ansible-lint,https://github.com/ansible/ansible-lint,Css,MIT,5.65 MiB
ansible/ansible-navigator,ansible-navigator,https://github.com/ansible/ansible-navigator,Python,Apache-2.0,3.13 MiB
ansible/galaxy,galaxy,https://github.com/ansible/galaxy,Python,Apache-2.0,8.79 MiB
ant0ine/go-json-rest,go-json-rest,https://github.com/ant0ine/go-json-rest,Go,MIT,166.87 KiB
anufrievroman/calcure,calcure,https://github.com/anufrievroman/calcure,Python,MIT,242.93 KiB
anvilco/spectaql,spectaql,https://github.com/anvilco/spectaql,JavaScript,MIT,2.50 MiB
archivy/archivy-hn,archivy-hn,https://github.com/archivy/archivy-hn,Python,MIT,5.19 MiB
arp242/uni,uni,https://github.com/arp242/uni,Go,MIT,2.01 MiB
arrmansa/Basic-UI-for-GPT-J-6B-with-low-vram,Basic-UI-for-GPT-J-6B-with-low-vram,https://github.com/arrmansa/Basic-UI-for-GPT-J-6B-with-low-vram,Python,Apache-2.0,35.60 KiB
arturoherrero/yarr,yarr,https://github.com/arturoherrero/yarr,Ruby,MIT,66.76 KiB
asobolev/rdf-crawler,rdf-crawler,https://github.com/asobolev/rdf-crawler,Python,GPL-2.0-only,208.67 KiB
associatedpress/cookiecutter-ruby-gem,cookiecutter-ruby-gem,https://github.com/associatedpress/cookiecutter-ruby-gem,Ruby,ISC,3.58 KiB
astrada/google-drive-ocamlfuse,google-drive-ocamlfuse,https://github.com/astrada/google-drive-ocamlfuse,OCaml,MIT,424.76 KiB
atlas-engineer/next,next,https://github.com/atlas-engineer/next,Lisp,BSD-3-Clause,840.12 KiB
atlassian/changesets,changesets,https://github.com/atlassian/changesets,TypeScript,MIT,1.35 MiB
atlassian/terraform-provider-artifactory,terraform-provider-artifactory,https://github.com/atlassian/terraform-provider-artifactory,Go,Apache-2.0,242.18 KiB
audreyr/cookiecutter-pypackage,cookiecutter-pypackage,https://github.com/audreyr/cookiecutter-pypackage,Python,BSD-3-Clause,104.00 KiB
audreyt/regex-genex,regex-genex,https://github.com/audreyt/regex-genex,Haskell,Artistic-1.0-Perl,5.35 MiB
augmentable-dev/askgit,askgit,https://github.com/augmentable-dev/askgit,Go,MIT,89.24 KiB
automerge/automerge,automerge,https://github.com/automerge/automerge,JavaScript,MIT,1.20 MiB
aws/aws-cdk,aws-cdk,https://github.com/aws/aws-cdk,TypeScript,Apache-2.0,29.30 MiB
az143/glimpse,glimpse,https://github.com/az143/glimpse,C,ISC,2.39 MiB
balsoft/lambda-launcher,lambda-launcher,https://github.com/balsoft/lambda-launcher,Haskell,Unlicense,31.86 KiB
banga/git-split-diffs,git-split-diffs,https://github.com/banga/git-split-diffs,TypeScript,MIT,10.02 MiB
bash-lsp/bash-language-server,bash-language-server,https://github.com/bash-lsp/bash-language-server,TypeScript,MIT,769.00 KiB
bazelbuild/bazelisk,bazelisk,https://github.com/bazelbuild/bazelisk,Go,Apache-2.0,1.69 MiB
bazelbuild/rules_docker,rules_docker,https://github.com/bazelbuild/rules_docker,Go,Apache-2.0,1.53 MiB
bazelbuild/rules_python,rules_python,https://github.com/bazelbuild/rules_python,Python,Apache-2.0,7.94 MiB
bazelbuild/starlark,starlark,https://github.com/bazelbuild/starlark,Markdown,Apache-2.0,283.34 KiB
bbarker/nixos-in-docker,nixos-in-docker,https://github.com/bbarker/nixos-in-docker,Sh,Apache-2.0,12.16 KiB
bbcarchdev/acropolis/anansi,anansi,git://github.com/bbcarchdev/anansi.git,C,Apache-2.0,300.49 KiB
bbcarchdev/acropolis/docbook-html5,docbook-html5,git://github.com/bbcarchdev/docbook-html5.git,Xml,Apache-2.0,74.78 KiB
bbcarchdev/acropolis/libcluster,libcluster,git://github.com/bbcarchdev/libcluster.git,C,Apache-2.0,131.08 KiB
bbcarchdev/acropolis/liblod,liblod,git://github.com/bbcarchdev/liblod.git,C,Apache-2.0,737.81 KiB
bbcarchdev/acropolis/libsparqlclient,libsparqlclient,git://github.com/bbcarchdev/libsparqlclient.git,C,Apache-2.0,782.87 KiB
bbcarchdev/acropolis/libsql,libsql,git://github.com/bbcarchdev/libsql.git,C,Apache-2.0,10.12 MiB
bbcarchdev/acropolis/liburi,liburi,git://github.com/bbcarchdev/liburi.git,Html,Apache-2.0,178.70 KiB
bbcarchdev/acropolis/patchwork,patchwork,git://github.com/bbcarchdev/patchwork.git,C,Apache-2.0,127.79 KiB
bbcarchdev/acropolis/quilt,quilt,git://github.com/bbcarchdev/quilt.git,C,Apache-2.0,410.80 KiB
bbcarchdev/acropolis/twine,twine,git://github.com/bbcarchdev/twine.git,C,Apache-2.0,242.78 KiB
bebraw/png2ico,png2ico,https://github.com/bebraw/png2ico,Sh,MIT,19.65 KiB
been-jamming/rubiks_cube,rubiks_cube,https://github.com/been-jamming/rubiks_cube,C,MIT,189.00 KiB
been-jamming/rubiks_cube/CAM-curses-ascii-matcher,CAM-curses-ascii-matcher,https://github.com/been-jamming/CAM-curses-ascii-matcher,C,MIT,39.59 KiB
beijingrb/dockerfile2bash,dockerfile2bash,https://github.com/beijingrb/dockerfile2bash,Ruby,MIT,17.44 KiB
belay-labs/gpt-explorer,gpt-explorer,https://github.com/belay-labs/gpt-explorer,Tsx,Apache-2.0,17.18 MiB
benedekrozemberczki/awesome-graph-classification,awesome-graph-classification,https://github.com/benedekrozemberczki/awesome-graph-classification,Python,CC0-1.0,364.63 KiB
bennn/syntax-parse-example,syntax-parse-example,https://github.com/bennn/syntax-parse-example,Racket,MIT,49.06 KiB
berty/berty,berty,https://github.com/berty/berty,Go,"Apache-2.0, MIT",13.96 MiB
beyondcode/github-now,github-now,https://github.com/beyondcode/github-now,Php,MIT,768.91 KiB
bhauman/lein-figwheel,lein-figwheel,https://github.com/bhauman/lein-figwheel,Clojure,EPL-1.0,2.50 MiB
bhauman/rebel-readline,rebel-readline,https://github.com/bhauman/rebel-readline,Clojure,EPL-1.0,203.07 KiB
bichenkk/coinmon,coinmon,https://github.com/bichenkk/coinmon,JavaScript,MIT,66.24 KiB
bigH/git-fuzzy,git-fuzzy,https://github.com/bigH/git-fuzzy,Sh,MIT,16.12 MiB
bigscience-workshop/promptsource,promptsource,https://github.com/bigscience-workshop/promptsource,Python,Apache-2.0,1.94 MiB
binder-examples/nix,nix,https://github.com/binder-examples/nix,Jupyter,MIT,14.76 KiB
binodsh/libgen,libgen,https://github.com/binodsh/libgen,Go,MIT,13.41 KiB
bio-ontology-research-group/deepgoplus,deepgoplus,https://github.com/bio-ontology-research-group/deepgoplus,Python,BSD-3-Clause,129.94 KiB
biojppm/regen,regen,https://github.com/biojppm/regen,Cpp,MIT,208.43 KiB
birchb1024/frangipanni,frangipanni,https://github.com/birchb1024/frangipanni,Go,MIT,931.56 KiB
bitcoin-core/secp256k1,secp256k1,https://github.com/bitcoin-core/secp256k1,C,MIT,1.14 MiB
bitlbee/bitlbee,bitlbee,https://github.com/bitlbee/bitlbee,C,GPL-2.0-only,1.71 MiB
bitlbee/bitlbee-facebook,bitlbee-facebook,https://github.com/bitlbee/bitlbee-facebook,C,GPL-2.0-only,351.26 KiB
bjornkihlberg/PureScript-Tutorials,PureScript-Tutorials,https://github.com/bjornkihlberg/PureScript-Tutorials,Markdown,BSD-3-Clause,2.28 MiB
bladecoder/bladecoder-adventure-engine,bladecoder-adventure-engine,https://github.com/bladecoder/bladecoder-adventure-engine,Java,Apache-2.0,6.22 MiB
blobcity/python-for-data-science,python-for-data-science,https://github.com/blobcity/python-for-data-science,Jupyter,Apache-2.0,100.27 KiB
bloomberg/koan,koan,https://github.com/bloomberg/koan,Cpp,Apache-2.0,803.57 KiB
bloomberg/koan/eigen,eigen,https://gitlab.com/libeigen/eigen,Cpp,"Apache-2.0, BSD-3-Clause, GPL-3.0-only, LGPL-2.1-only, MPL-2.0",14.65 MiB
blushft/go-diagrams,go-diagrams,https://github.com/blushft/go-diagrams,Go,MIT,73.57 MiB
bndr/pipreqs,pipreqs,https://github.com/bndr/pipreqs,Python,Apache-2.0,106.65 KiB
bollu/teleport,teleport,https://github.com/bollu/teleport,Html,BSD-3-Clause,101.60 KiB
boomerang-lang/boomerang,boomerang,https://github.com/boomerang-lang/boomerang,OCaml,LGPL-2.1-only,1.82 MiB
boot-clj/boot,boot,https://github.com/boot-clj/boot,Clojure,EPL-1.0,863.17 KiB
borisdayma/dalle-mini,dalle-mini,https://github.com/borisdayma/dalle-mini,Python,Apache-2.0,5.22 MiB
borkdude/babashka,babashka,https://github.com/borkdude/babashka,Clojure,EPL-1.0,629.45 KiB
borkdude/babashka/sci,sci,https://github.com/borkdude/sci,Html,EPL-1.0,518.73 KiB
borkdude/clj-kondo,clj-kondo,https://github.com/borkdude/clj-kondo,Clojure,EPL-1.0,4.72 MiB
borkdude/clj-kondo.lsp,clj-kondo.lsp,https://github.com/borkdude/clj-kondo.lsp,Clojure,EPL-1.0,90.88 KiB
borkdude/deps.clj,deps.clj,https://github.com/borkdude/deps.clj,Clojure,EPL-1.0,227.47 KiB
bos/aeson,aeson,https://github.com/bos/aeson,Haskell,BSD-3-Clause,116.54 MiB
botfront/rasa-webchat,rasa-webchat,https://github.com/botfront/rasa-webchat,JavaScript,Apache-2.0,2.34 MiB
bpross/openapi-snippet,openapi-snippet,https://github.com/bpross/openapi-snippet,JavaScript,MIT,1.33 MiB
brainflow-dev/brainflow,brainflow,https://github.com/brainflow-dev/brainflow,Cpp,MIT,52.78 MiB
brendanhay/gogol,gogol,https://github.com/brendanhay/gogol,Haskell,MPL-2.0,77.55 MiB
brentp/cyvcf2,cyvcf2,https://github.com/brentp/cyvcf2,C,MIT,1.05 MiB
briangorman/hablamos,hablamos,https://github.com/briangorman/hablamos,Clojure,ISC,14.97 KiB
briansunter/logseq-plugin-gpt3-openai,logseq-plugin-gpt3-openai,https://github.com/briansunter/logseq-plugin-gpt3-openai,TypeScript,MIT,158.69 KiB
brightmart/text_classification,text_classification,https://github.com/brightmart/text_classification,Python,MIT,29.07 MiB
broot,broot,https://github.com/Canop/broot,Rust,MIT,11.78 MiB
browsh-org/browsh,browsh,https://github.com/mullikine/browsh.git,Go,LGPL-2.1-only,2.84 MiB
bryanpkc/corkscrew,corkscrew,https://github.com/bryanpkc/corkscrew,C,GPL-2.0-only,40.60 KiB
bsamaripa/scala-koans,scala-koans,https://github.com/bsamaripa/scala-koans,Scala,CC-BY-NC-SA-3.0,166.76 KiB
bubba/lsp-test,lsp-test,https://github.com/bubba/lsp-test,Haskell,BSD-3-Clause,164.64 KiB
buserror/libmish,libmish,https://github.com/buserror/libmish,C,Apache-2.0,1.48 MiB
byorgey/swarm,swarm,https://github.com/byorgey/swarm,Haskell,BSD-3-Clause,612.14 KiB
c-grimshaw/gosniff,gosniff,https://github.com/c-grimshaw/gosniff,Go,MIT,24.69 KiB
c9fe/22120,22120,https://github.com/c9fe/22120,JavaScript,AGPL-3.0-only,939.84 KiB
c9fe/sirdb,sirdb,https://github.com/c9fe/sirdb,JavaScript,MIT,66.00 KiB
cablelabs/bitbake,bitbake,https://github.com/cablelabs/bitbake,Python,GPL-2.0-only,6.48 MiB
caelan/pddlstream,pddlstream,https://github.com/caelan/pddlstream,Python,GPL-3.0-only,24.37 MiB
caelan/pddlstream/downward,downward,https://github.com/caelan/downward.git,Python,GPL-3.0-only,7.36 MiB
camel-tooling/camel-language-server,camel-language-server,https://github.com/camel-tooling/camel-language-server,Java,Apache-2.0,2.23 MiB
cameronkerrnz/iptables-metalanguage,iptables-metalanguage,https://github.com/cameronkerrnz/iptables-metalanguage,Haskell,BSD-3-Clause,70.70 KiB
cantino/mcfly,mcfly,https://github.com/cantino/mcfly,Rust,MIT,406.50 KiB
caprover/caprover,caprover,https://github.com/caprover/caprover,TypeScript,Apache-2.0,21.44 MiB
carlba/mysql-tutorial,mysql-tutorial,https://github.com/carlba/mysql-tutorial,Markdown,MIT,986.21 KiB
cask/cask,cask,https://github.com/cask/cask,Elisp,GPL-3.0-only,593.77 KiB
cavaliercoder/c-stringbuilder,c-stringbuilder,https://github.com/cavaliercoder/c-stringbuilder,C,MIT,9.04 KiB
cayleygraph/cayley,cayley,https://github.com/cayleygraph/cayley,Go,Apache-2.0,5.90 MiB
cbroglie/mustache,mustache,https://github.com/cbroglie/mustache,Go,MIT,15.73 MiB
cdarwin/go-koans,go-koans,https://github.com/cdarwin/go-koans,Go,MIT,18.71 KiB
cdepillabout/termonad,termonad,https://github.com/cdepillabout/termonad,Haskell,BSD-3-Clause,377.24 KiB
ceph/ceph-ansible,ceph-ansible,https://github.com/ceph/ceph-ansible,Python,Apache-2.0,1.60 MiB
cgpotts/cs224u,cs224u,https://github.com/cgpotts/cs224u,Python,Apache-2.0,6.07 MiB
chakki-works/sumeval,sumeval,https://github.com/chakki-works/sumeval,Python,Apache-2.0,287.68 KiB
channable/alfred-margaret,alfred-margaret,https://github.com/channable/alfred-margaret,Haskell,BSD-3-Clause,76.24 KiB
charmbracelet/charm,charm,https://github.com/charmbracelet/charm,Go,MIT,295.62 KiB
charmbracelet/glow,glow,https://github.com/charmbracelet/glow,Go,MIT,664.01 KiB
charmbracelet/lipgloss,lipgloss,https://github.com/charmbracelet/lipgloss,Go,MIT,101.46 KiB
chazingtheinfinite/bioinformatics-contest-2019,bioinformatics-contest-2019,https://github.com/chazingtheinfinite/bioinformatics-contest-2019,Python,MIT,90.56 MiB
cheat/cheat,cheat,https://github.com/cheat/cheat,Go,MIT,7.37 MiB
cheertarts/nrubik,nrubik,https://github.com/cheertarts/nrubik,Python,GPL-3.0-only,77.64 KiB
chjj/ttystudio,ttystudio,https://github.com/chjj/ttystudio,JavaScript,MIT,6.15 MiB
chr15m/flk/mal,mal,https://github.com/kanaka/mal.git,Assembly,MPL-2.0,10.45 MiB
chrisbarrett/free-monads-talk,free-monads-talk,https://github.com/chrisbarrett/free-monads-talk,Html,BSD-3-Clause,47.75 KiB
chriskiehl/Gooey,Gooey,https://github.com/chriskiehl/Gooey,Python,MIT,1003.20 KiB
chrislusf/seaweedfs,seaweedfs,https://github.com/chrislusf/seaweedfs,Go,Apache-2.0,29.44 MiB
chriswalz/bit,bit,https://github.com/chriswalz/bit,Go,Apache-2.0,234.74 KiB
cimeister/typical-sampling,typical-sampling,https://github.com/cimeister/typical-sampling,Python,Apache-2.0,31.30 MiB
cj123/canijailbreak.com,canijailbreak.com,https://github.com/cj123/canijailbreak.com,Go,MIT,27.09 KiB
cjdev/haskell-fundamentals,haskell-fundamentals,https://github.com/cjdev/haskell-fundamentals,Haskell,BSD-3-Clause,88.98 KiB
cli/cli,cli,https://github.com/cli/cli,Go,MIT,1.66 MiB
clibs/clib,clib,https://github.com/clibs/clib,C,MIT,853.09 KiB
clj-pune/pratham,pratham,https://github.com/clj-pune/pratham,Clojure,EPL-1.0,31.37 KiB
clj-python/libpython-clj,libpython-clj,https://github.com/clj-python/libpython-clj,Clojure,EPL-2.0,1.68 MiB
clojars/clojars-web,clojars-web,https://github.com/clojars/clojars-web,Clojure,EPL-1.0,915.71 KiB
clojerl/clojerl,clojerl,https://github.com/clojerl/clojerl,Erlang,EPL-1.0,2.27 MiB
clojure-emacs/cider-eval-sexp-fu,cider-eval-sexp-fu,https://github.com/clojure-emacs/cider-eval-sexp-fu,Elisp,GPL-3.0-only,37.69 KiB
clojure-emacs/clj-refactor.el,clj-refactor.el,https://github.com/clojure-emacs/clj-refactor.el,Elisp,GPL-3.0-only,4.93 MiB
clojure-emacs/orchard,orchard,https://github.com/clojure-emacs/orchard,Clojure,EPL-1.0,1.86 MiB
clojure-emacs/parseclj,parseclj,https://github.com/clojure-emacs/parseclj,Elisp,GPL-3.0-only,158.43 KiB
clojure-expectations/clojure-test,clojure-test,https://github.com/clojure-expectations/clojure-test,Markdown,EPL-1.0,100.95 KiB
clojure-lsp/clojure-lsp,clojure-lsp,https://github.com/clojure-lsp/clojure-lsp,Clojure,MIT,2.96 MiB
clojure/clojurescript,clojurescript,https://github.com/clojure/clojurescript,Clojure,EPL-1.0,2.70 MiB
clojure/core.typed,core.typed,https://github.com/clojure/core.typed,Clojure,EPL-1.0,3.31 MiB
clojure/data.json,data.json,https://github.com/clojure/data.json,Clojure,EPL-1.0,214.68 KiB
clojure/tools.cli,tools.cli,https://github.com/clojure/tools.cli,Html,EPL-1.0,104.13 KiB
clojure/tools.trace,tools.trace,https://github.com/clojure/tools.trace,Clojure,EPL-1.0,54.51 KiB
cloudkj/layer,layer,https://github.com/cloudkj/layer,Sh,MIT,878.82 KiB
cnuernber/libpython-clj,libpython-clj,https://github.com/cnuernber/libpython-clj,Clojure,EPL-2.0,1.68 MiB
coalton-lang/coalton,coalton,https://github.com/coalton-lang/coalton,Lisp,MIT,769.74 KiB
cognitect-labs/day-of-datomic-cloud,day-of-datomic-cloud,https://github.com/cognitect-labs/day-of-datomic-cloud,Clojure,EPL-1.0,189.08 KiB
colethecoder/chronological,chronological,https://github.com/colethecoder/chronological,CSharp,MIT,143.18 KiB
commercialhaskell/rio,rio,https://github.com/commercialhaskell/rio,Haskell,MIT,258.46 KiB
commercialhaskell/stack,stack,https://github.com/commercialhaskell/stack,Haskell,BSD-3-Clause,2.57 MiB
commercialhaskell/stack-templates,stack-templates,https://github.com/commercialhaskell/stack-templates,Haskell,MIT,130.89 KiB
composer/composer,composer,https://github.com/composer/composer,Php,MIT,5.74 MiB
config/emacs/ilambda,ilambda,git@github.com:semiosis/ilambda.git,Elisp,GPL-3.0-only,225.73 MiB
config/emacs/khala,khala,git@github.com:semiosis/khala.git,Clojure,AGPL-3.0-only,70.17 KiB
config/emacs/openai-api.el,openai-api.el,git@github.com:semiosis/openai-api.el.git,Elisp,GPL-2.0-only,4.86 MiB
config/emacs/pen-contrib.el,pen-contrib.el,https://github.com/semiosis/pen-contrib.el,Org,GPL-3.0-only,559.38 KiB
